c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
,,,,,,,,,
" Kenia Washed Wypał 1",,,,,,,,,
21/11/2025,,,,,,,,,
Unspecified Bean,,,,,,,,,
,,,,,,,,,
Milestones,,,,,,,,,
1st Crack,Start,,,End,,,,,
,Index,Time,,Index,Time,,,,
,968,8:04,,-,-,,,,
,,,,,,,,,
2st Crack,Start,,,End,,,,,
,Index,Time,,Index,Time,,,,
,-,-,,-,-,,,,
,,,,,,,,,
Yellowing,Start index,Start time,,,,,,,
,448,3:44,,,,,,,
,,,,,,,,,
,,,,,,,,,
Timeline,Index,Time,IBTS Temp,Bean Probe Temp,IBTS ROR,Bean Probe ROR,Power Setting,Drum Setting,Fan Setting
,0,0:00,209.91,147.26,0,-6.26,6,8,4
,1,0:01,209.97,147.16,0,-5.66,6,7,4
,2,0:02,208.27,147.08,0,-4.68,6,7,4
,3,0:03,25,147,0,-5.43,6,7,4
,4,0:04,25.01,146.83,0.24,-12.63,6,7,4
,5,0:05,25.05,146.42,1.54,-28.74,6,7,4
,6,0:06,25.18,145.68,4.99,-49.91,6,7,4
,7,0:07,25.46,144.54,12.28,-74.69,6,7,4
,8,0:08,26.01,142.99,25.36,-99.16,6,7,4
,9,0:09,26.95,141.09,45.58,-117.87,6,7,4
,10,0:10,28.41,139.01,73.46,-126.75,6,7,4
,11,0:11,30.49,136.86,108.2,-129.63,6,7,4
,12,0:12,33.25,134.71,147.58,-128.61,6,7,4
,13,0:13,36.67,132.6,188.12,-125.59,6,7,4
,14,0:14,40.68,130.55,225.61,-121.75,6,7,4
,15,0:15,45.12,128.57,255.8,-117.7,6,7,4
,16,0:16,49.79,126.66,275.18,-114.26,6,7,4
,17,0:17,54.46,124.79,281.6,-111.09,6,7,4
,18,0:18,58.94,122.98,274.77,-108.03,6,7,4
,19,0:19,63.03,122.09,256.14,-105.98,6,7,4
,20,0:20,66.61,120.38,228.63,-101.66,6,7,4
,21,0:21,69.63,118.74,195.98,-97.37,6,7,4
,22,0:22,72.09,117.18,162.23,-92.71,6,7,4
,23,0:23,74.06,115.69,130.78,-87.79,6,7,4
,24,0:24,75.64,114.28,104.39,-83.66,6,7,4
,25,0:25,76.92,112.93,84.3,-80.18,6,7,4
,26,0:26,78.02,111.64,70.47,-76.75,6,7,4
,27,0:27,79.02,110.4,62.24,-73.25,6,7,4
,28,0:28,79.98,109.23,58.26,-69.72,6,7,4
,29,0:29,80.93,108.11,57.01,-65.69,6,7,4
,30,0:30,81.88,107.07,57.14,-62.03,6,7,4
,31,0:31,82.84,106.08,57.43,-58.56,6,7,4
,32,0:32,83.78,105.15,56.94,-54.9,6,7,4
,33,0:33,84.68,104.27,55.11,-51.7,6,7,4
,34,0:34,85.51,103.44,51.91,-49.28,6,7,4
