c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
,,,,,,,,,
Kenia Washed wypał 3,,,,,,,,,
22/11/2025,,,,,,,,,
Unspecified Bean,,,,,,,,,
,,,,,,,,,
Milestones,,,,,,,,,
1st Crack,Start,,,End,,,,,
,Index,Time,,Index,Time,,,,
,1188,9:54,,-,-,,,,
,,,,,,,,,
2st Crack,Start,,,End,,,,,
,Index,Time,,Index,Time,,,,
,-,-,,-,-,,,,
,,,,,,,,,
Yellowing,Start index,Start time,,,,,,,
,530,4:25,,,,,,,
,,,,,,,,,
,,,,,,,,,
Timeline,Index,Time,IBTS Temp,Bean Probe Temp,IBTS ROR,Bean Probe ROR,Power Setting,Drum Setting,Fan Setting
,0,0:00,195.77,144.98,0,-6.25,5,7,4
,1,0:01,196.11,144.92,0,-6.56,5,7,4
,2,0:02,196.49,144.81,0,-7.25,5,7,4
,3,0:03,25,144.62,0.04,-7.79,5,7,4
,4,0:04,25.02,144.44,0.65,-12.11,5,7,4
,5,0:05,25.09,144.08,2.57,-25.29,5,7,4
,6,0:06,25.25,143.42,6.94,-44.8,5,7,4
,7,0:07,25.59,142.39,15.27,-67.59,5,7,4
,8,0:08,26.2,140.97,29.04,-91.72,5,7,4
,9,0:09,27.2,139.17,49.1,-112.19,5,7,4
,10,0:10,28.67,137.15,75.38,-123.96,5,7,4
,11,0:11,30.7,135.01,106.95,-129.05,5,7,4
,12,0:12,33.32,132.85,141.5,-130.01,5,7,4
,13,0:13,36.49,130.7,175.93,-128.09,5,7,4
,14,0:14,40.12,128.61,206.56,-124.65,5,7,4
,15,0:15,44.08,126.59,229.89,-119.86,5,7,4
,16,0:16,48.19,124.66,243.35,-114.38,5,7,4
,17,0:17,52.24,122.82,245.57,-108.86,5,7,4
,18,0:18,56.08,121.07,236.83,-103.91,5,7,4
,19,0:19,59.57,119.4,219.04,-99.38,5,7,4
,20,0:20,62.63,117.79,195.04,-95.57,5,7,4
,21,0:21,65.23,116.24,168.11,-92.38,5,7,4
,22,0:22,67.4,114.74,141.41,-89.18,5,7,4
,23,0:23,69.2,113.3,117.32,-85.34,5,7,4
,24,0:24,70.69,111.92,97.2,-81.47,5,7,4
,25,0:25,71.95,110.61,81.24,-77.52,5,7,4
,26,0:26,73.02,109.37,68.95,-73.51,5,7,4
,27,0:27,73.96,108.19,59.65,-70.23,5,7,4
,28,0:28,74.78,107.05,52.29,-67.49,5,7,4
,29,0:29,75.51,105.96,46.21,-64.86,5,7,4
,30,0:30,76.17,104.92,41.12,-61.97,5,7,4
